"PHH_common_all","PHH_DEG_Steatosis","PHH_SVM_DEGs","PHH_SVM_Steatosis","PRH_common_all","PRH_DEG_Steatosis","PRH_SVM_DEGs","PRH_SVM_Steatosis","RLT_common_all","RLT_DEG_Steatosis","RLT_SVM_DEGs","RLT_SVM_Steatosis"
NA,"IRS1","LAMTOR3",NA,NA,NA,NA,NA,NA,NA,"NHERF1",NA
NA,"SLC27A4","POLR2I",NA,NA,NA,NA,NA,NA,NA,"CDC42EP1",NA
NA,"PPDPF","GATA6-AS1",NA,NA,NA,NA,NA,NA,NA,"SIAE",NA
NA,"BECN1","C6orf226",NA,NA,NA,NA,NA,NA,NA,"GSTM4",NA
NA,"ALDH2","NAA30",NA,NA,NA,NA,NA,NA,NA,"ENSRNOG00000004147",NA
NA,"PINK1","EPB41L5",NA,NA,NA,NA,NA,NA,NA,"PNPLA7",NA
NA,"AKT1","RBMY2MP",NA,NA,NA,NA,NA,NA,NA,"SHPK",NA
NA,"PHYH","KIF9",NA,NA,NA,NA,NA,NA,NA,"POLDIP2",NA
NA,"MMP1","FAM110C",NA,NA,NA,NA,NA,NA,NA,"IL16",NA
NA,"TNFRSF1B","SRPK3",NA,NA,NA,NA,NA,NA,NA,"OR51E2",NA
NA,"SERPINA1","TNPO3",NA,NA,NA,NA,NA,NA,NA,"RAB3GAP1",NA
NA,"MFN2","ZNF765",NA,NA,NA,NA,NA,NA,NA,"LRBA",NA
NA,"PNPLA3","TIGD1",NA,NA,NA,NA,NA,NA,NA,"PCYT2",NA
NA,"EIF2AK1","IGLV2-14",NA,NA,NA,NA,NA,NA,NA,"PEX14",NA
NA,"ABCB1","PEX11G",NA,NA,NA,NA,NA,NA,NA,"SLC66A2",NA
NA,"F2","IFT22",NA,NA,NA,NA,NA,NA,NA,"TTYH3",NA
NA,"TRIB1","TPSAB1",NA,NA,NA,NA,NA,NA,NA,"TENT5C",NA
NA,"STAT3","KCNT2",NA,NA,NA,NA,NA,NA,NA,"NTF3",NA
NA,"EIF2AK3","ENSG00000261829",NA,NA,NA,NA,NA,NA,NA,"ARAF",NA
NA,"MYD88","MAPRE2",NA,NA,NA,NA,NA,NA,NA,"TRMT44",NA
NA,"ADH4","ARHGEF16",NA,NA,NA,NA,NA,NA,NA,"NGDN",NA
NA,NA,"ZBTB25",NA,NA,NA,NA,NA,NA,NA,"PSMG4",NA
NA,NA,"PRPSAP2",NA,NA,NA,NA,NA,NA,NA,"DVL1",NA
NA,NA,"GM2A",NA,NA,NA,NA,NA,NA,NA,"SORT1",NA
NA,NA,"UNC5B",NA,NA,NA,NA,NA,NA,NA,"WDR11",NA
NA,NA,"ZNF138",NA,NA,NA,NA,NA,NA,NA,"SLC25A23",NA
NA,NA,"NDUFC1",NA,NA,NA,NA,NA,NA,NA,"PPP1R15B",NA
NA,NA,"ENSG00000242861",NA,NA,NA,NA,NA,NA,NA,"SEPHS1",NA
NA,NA,"TARS3",NA,NA,NA,NA,NA,NA,NA,"HSPB1",NA
NA,NA,"ZNF561",NA,NA,NA,NA,NA,NA,NA,"GYPC",NA
