Array Data File	Suggested_name	Steatogenic	Source Name	Characteristics[organism]	Characteristics[individual]	Characteristics[strain]	Characteristics[age]	Unit[time unit]	Characteristics[developmental stage]	Characteristics[sex]	Characteristics[organism part]	Characteristics[cell type]	Characteristics[genotype]	Characteristics[cohort]	Description	Material Type	Protocol REF	Protocol REF	Protocol REF	Protocol REF	Extract Name	Labeled Extract Name	Label	Protocol REF	Assay Name	Technology Type	Array Design REF	Term Source REF	Protocol REF	Comment [ArrayExpress FTP file]	Factor Value[cohort]	Term Source REF	Term Accession Number	Factor Value[compound]	Factor Value[dose]	Unit[dose unit]	Factor Value[time]	Unit[time unit]
003017121024.CEL	TG_rat_vit_Vpa_Ctl_2h_1	No	3017006001	Rattus norvegicus	5008011LRA	Sprague Dawley	6	week	adult	male	liver	hepatocyte	wild type genotype	valproic acid	Control - valproic acid	cell	P-MTAB-23065	P-MTAB-23066	P-MTAB-23067	P-MTAB-23068	5056061LRA	5056061LRA:biotin	biotin	P-MTAB-23069	3017121024	array assay	A-AFFY-43	ArrayExpress	P-MTAB-23070	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.40.zip	valproic acid	ChEMBL	CHEMBL109	none	  	  	2	hour
003017121025.CEL	TG_rat_vit_Vpa_Ctl_2h_2	No	3017006002	Rattus norvegicus	5008012LRA	Sprague Dawley	6	week	adult	male	liver	hepatocyte	wild type genotype	valproic acid	Control - valproic acid	cell	P-MTAB-23065	P-MTAB-23066	P-MTAB-23067	P-MTAB-23068	5056062LRA	5056062LRA:biotin	biotin	P-MTAB-23069	3017121025	array assay	A-AFFY-43	ArrayExpress	P-MTAB-23070	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.40.zip	valproic acid	ChEMBL	CHEMBL109	none	  	  	2	hour
003017121010.CEL	TG_rat_vit_Vpa_Ctl_8h_1	No	3017006009	Rattus norvegicus	5008021LRA	Sprague Dawley	6	week	adult	male	liver	hepatocyte	wild type genotype	valproic acid	Control - valproic acid	cell	P-MTAB-23065	P-MTAB-23066	P-MTAB-23067	P-MTAB-23068	5056071LRA	5056071LRA:biotin	biotin	P-MTAB-23069	3017121010	array assay	A-AFFY-43	ArrayExpress	P-MTAB-23070	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.40.zip	valproic acid	ChEMBL	CHEMBL109	none	  	  	8	hour
003017121011.CEL	TG_rat_vit_Vpa_Ctl_8h_2	No	3017006010	Rattus norvegicus	5008022LRA	Sprague Dawley	6	week	adult	male	liver	hepatocyte	wild type genotype	valproic acid	Control - valproic acid	cell	P-MTAB-23065	P-MTAB-23066	P-MTAB-23067	P-MTAB-23068	5056072LRA	5056072LRA:biotin	biotin	P-MTAB-23069	3017121011	array assay	A-AFFY-43	ArrayExpress	P-MTAB-23070	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.40.zip	valproic acid	ChEMBL	CHEMBL109	none	  	  	8	hour
003017121018.CEL	TG_rat_vit_Vpa_Ctl_24h_1	No	3017006017	Rattus norvegicus	5008031LRA	Sprague Dawley	6	week	adult	male	liver	hepatocyte	wild type genotype	valproic acid	Control - valproic acid	cell	P-MTAB-23065	P-MTAB-23066	P-MTAB-23067	P-MTAB-23068	5056081LRA	5056081LRA:biotin	biotin	P-MTAB-23069	3017121018	array assay	A-AFFY-43	ArrayExpress	P-MTAB-23070	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.40.zip	valproic acid	ChEMBL	CHEMBL109	none	  	  	24	hour
003017121019.CEL	TG_rat_vit_Vpa_Ctl_24h_2	No	3017006018	Rattus norvegicus	5008032LRA	Sprague Dawley	6	week	adult	male	liver	hepatocyte	wild type genotype	valproic acid	Control - valproic acid	cell	P-MTAB-23065	P-MTAB-23066	P-MTAB-23067	P-MTAB-23068	5056082LRA	5056082LRA:biotin	biotin	P-MTAB-23069	3017121019	array assay	A-AFFY-43	ArrayExpress	P-MTAB-23070	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.40.zip	valproic acid	ChEMBL	CHEMBL109	none	  	  	24	hour
003017118030.CEL	TG_rat_vit_Vpa_400um_2h_1	Yes	3017006003	Rattus norvegicus	5008041LRA	Sprague Dawley	6	week	adult	male	liver	hepatocyte	wild type genotype	valproic acid	Low - valproic acid	cell	P-MTAB-23065	P-MTAB-23066	P-MTAB-23067	P-MTAB-23068	5040061LRA	5040061LRA:biotin	biotin	P-MTAB-23069	3017118030	array assay	A-AFFY-43	ArrayExpress	P-MTAB-23070	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.40.zip	valproic acid	ChEMBL	CHEMBL109	valproic acid	400	micromolar	2	hour
003017119001.CEL	TG_rat_vit_Vpa_400um_2h_2	Yes	3017006004	Rattus norvegicus	5008042LRA	Sprague Dawley	6	week	adult	male	liver	hepatocyte	wild type genotype	valproic acid	Low - valproic acid	cell	P-MTAB-23065	P-MTAB-23066	P-MTAB-23067	P-MTAB-23068	5040062LRA	5040062LRA:biotin	biotin	P-MTAB-23069	3017119001	array assay	A-AFFY-43	ArrayExpress	P-MTAB-23070	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.40.zip	valproic acid	ChEMBL	CHEMBL109	valproic acid	400	micromolar	2	hour
003017118016.CEL	TG_rat_vit_Vpa_400um_8h_1	Yes	3017006011	Rattus norvegicus	5008051LRA	Sprague Dawley	6	week	adult	male	liver	hepatocyte	wild type genotype	valproic acid	Low - valproic acid	cell	P-MTAB-23065	P-MTAB-23066	P-MTAB-23067	P-MTAB-23068	5040071LRA	5040071LRA:biotin	biotin	P-MTAB-23069	3017118016	array assay	A-AFFY-43	ArrayExpress	P-MTAB-23070	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.40.zip	valproic acid	ChEMBL	CHEMBL109	valproic acid	400	micromolar	8	hour
003017118017.CEL	TG_rat_vit_Vpa_400um_8h_2	Yes	3017006012	Rattus norvegicus	5008052LRA	Sprague Dawley	6	week	adult	male	liver	hepatocyte	wild type genotype	valproic acid	Low - valproic acid	cell	P-MTAB-23065	P-MTAB-23066	P-MTAB-23067	P-MTAB-23068	5040072LRA	5040072LRA:biotin	biotin	P-MTAB-23069	3017118017	array assay	A-AFFY-43	ArrayExpress	P-MTAB-23070	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.40.zip	valproic acid	ChEMBL	CHEMBL109	valproic acid	400	micromolar	8	hour
003017118025.CEL	TG_rat_vit_Vpa_400um_24h_1	Yes	3017006019	Rattus norvegicus	5008061LRA	Sprague Dawley	6	week	adult	male	liver	hepatocyte	wild type genotype	valproic acid	Low - valproic acid	cell	P-MTAB-23065	P-MTAB-23066	P-MTAB-23067	P-MTAB-23068	5040082LRA	5040082LRA:biotin	biotin	P-MTAB-23069	3017118025	array assay	A-AFFY-43	ArrayExpress	P-MTAB-23070	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.40.zip	valproic acid	ChEMBL	CHEMBL109	valproic acid	400	micromolar	24	hour
003017118024.CEL	TG_rat_vit_Vpa_400um_24h_2	Yes	3017005026	Rattus norvegicus	5008062LRA	Sprague Dawley	6	week	adult	male	liver	hepatocyte	wild type genotype	valproic acid	Low - valproic acid	cell	P-MTAB-23065	P-MTAB-23066	P-MTAB-23067	P-MTAB-23068	5040081LRA	5040081LRA:biotin	biotin	P-MTAB-23069	3017118024	array assay	A-AFFY-43	ArrayExpress	P-MTAB-23070	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.40.zip	valproic acid	ChEMBL	CHEMBL109	valproic acid	400	micromolar	24	hour
003017373027.CEL	TG_rat_vit_Vpa_2000um_2h_1	Yes	3017006005	Rattus norvegicus	5008071LRA	Sprague Dawley	6	week	adult	male	liver	hepatocyte	wild type genotype	valproic acid	Middle - valproic acid	cell	P-MTAB-23065	P-MTAB-23066	P-MTAB-23067	P-MTAB-23068	5194031LRA	5194031LRA:biotin	biotin	P-MTAB-23069	3017373027	array assay	A-AFFY-43	ArrayExpress	P-MTAB-23070	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.40.zip	valproic acid	ChEMBL	CHEMBL109	valproic acid	2000	micromolar	2	hour
003017373028.CEL	TG_rat_vit_Vpa_2000um_2h_2	Yes	3017006006	Rattus norvegicus	5008072LRA	Sprague Dawley	6	week	adult	male	liver	hepatocyte	wild type genotype	valproic acid	Middle - valproic acid	cell	P-MTAB-23065	P-MTAB-23066	P-MTAB-23067	P-MTAB-23068	5194032LRA	5194032LRA:biotin	biotin	P-MTAB-23069	3017373028	array assay	A-AFFY-43	ArrayExpress	P-MTAB-23070	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.40.zip	valproic acid	ChEMBL	CHEMBL109	valproic acid	2000	micromolar	2	hour
003017373013.CEL	TG_rat_vit_Vpa_2000um_8h_1	Yes	3017006013	Rattus norvegicus	5008081LRA	Sprague Dawley	6	week	adult	male	liver	hepatocyte	wild type genotype	valproic acid	Middle - valproic acid	cell	P-MTAB-23065	P-MTAB-23066	P-MTAB-23067	P-MTAB-23068	5194041LRA	5194041LRA:biotin	biotin	P-MTAB-23069	3017373013	array assay	A-AFFY-43	ArrayExpress	P-MTAB-23070	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.40.zip	valproic acid	ChEMBL	CHEMBL109	valproic acid	2000	micromolar	8	hour
003017373014.CEL	TG_rat_vit_Vpa_2000um_8h_2	Yes	3017006014	Rattus norvegicus	5008082LRA	Sprague Dawley	6	week	adult	male	liver	hepatocyte	wild type genotype	valproic acid	Middle - valproic acid	cell	P-MTAB-23065	P-MTAB-23066	P-MTAB-23067	P-MTAB-23068	5194042LRA	5194042LRA:biotin	biotin	P-MTAB-23069	3017373014	array assay	A-AFFY-43	ArrayExpress	P-MTAB-23070	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.40.zip	valproic acid	ChEMBL	CHEMBL109	valproic acid	2000	micromolar	8	hour
003017373021.CEL	TG_rat_vit_Vpa_2000um_24h_1	Yes	3017005027	Rattus norvegicus	5008091LRA	Sprague Dawley	6	week	adult	male	liver	hepatocyte	wild type genotype	valproic acid	Middle - valproic acid	cell	P-MTAB-23065	P-MTAB-23066	P-MTAB-23067	P-MTAB-23068	5194051LRA	5194051LRA:biotin	biotin	P-MTAB-23069	3017373021	array assay	A-AFFY-43	ArrayExpress	P-MTAB-23070	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.40.zip	valproic acid	ChEMBL	CHEMBL109	valproic acid	2000	micromolar	24	hour
003017373022.CEL	TG_rat_vit_Vpa_2000um_24h_2	Yes	3017005028	Rattus norvegicus	5008092LRA	Sprague Dawley	6	week	adult	male	liver	hepatocyte	wild type genotype	valproic acid	Middle - valproic acid	cell	P-MTAB-23065	P-MTAB-23066	P-MTAB-23067	P-MTAB-23068	5194052LRA	5194052LRA:biotin	biotin	P-MTAB-23069	3017373022	array assay	A-AFFY-43	ArrayExpress	P-MTAB-23070	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.40.zip	valproic acid	ChEMBL	CHEMBL109	valproic acid	2000	micromolar	24	hour
003017169013.CEL	TG_rat_vit_Vpa_10000um_2h_1	Yes	3017006007	Rattus norvegicus	5008101LRA	Sprague Dawley	6	week	adult	male	liver	hepatocyte	wild type genotype	valproic acid	High - valproic acid	cell	P-MTAB-23065	P-MTAB-23066	P-MTAB-23067	P-MTAB-23068	5065101LRA	5065101LRA:biotin	biotin	P-MTAB-23069	3017169013	array assay	A-AFFY-43	ArrayExpress	P-MTAB-23070	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.40.zip	valproic acid	ChEMBL	CHEMBL109	valproic acid	10000	micromolar	2	hour
003017169014.CEL	TG_rat_vit_Vpa_10000um_2h_2	Yes	3017006008	Rattus norvegicus	5008102LRA	Sprague Dawley	6	week	adult	male	liver	hepatocyte	wild type genotype	valproic acid	High - valproic acid	cell	P-MTAB-23065	P-MTAB-23066	P-MTAB-23067	P-MTAB-23068	5065102LRA	5065102LRA:biotin	biotin	P-MTAB-23069	3017169014	array assay	A-AFFY-43	ArrayExpress	P-MTAB-23070	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.40.zip	valproic acid	ChEMBL	CHEMBL109	valproic acid	10000	micromolar	2	hour
003017169021.CEL	TG_rat_vit_Vpa_10000um_8h_1	Yes	3017006015	Rattus norvegicus	5008111LRA	Sprague Dawley	6	week	adult	male	liver	hepatocyte	wild type genotype	valproic acid	High - valproic acid	cell	P-MTAB-23065	P-MTAB-23066	P-MTAB-23067	P-MTAB-23068	5065111LRA	5065111LRA:biotin	biotin	P-MTAB-23069	3017169021	array assay	A-AFFY-43	ArrayExpress	P-MTAB-23070	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.40.zip	valproic acid	ChEMBL	CHEMBL109	valproic acid	10000	micromolar	8	hour
003017169022.CEL	TG_rat_vit_Vpa_10000um_8h_2	Yes	3017006016	Rattus norvegicus	5008112LRA	Sprague Dawley	6	week	adult	male	liver	hepatocyte	wild type genotype	valproic acid	High - valproic acid	cell	P-MTAB-23065	P-MTAB-23066	P-MTAB-23067	P-MTAB-23068	5065112LRA	5065112LRA:biotin	biotin	P-MTAB-23069	3017169022	array assay	A-AFFY-43	ArrayExpress	P-MTAB-23070	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.40.zip	valproic acid	ChEMBL	CHEMBL109	valproic acid	10000	micromolar	8	hour
003017169029.CEL	TG_rat_vit_Vpa_10000um_24h_1	Yes	3017005029	Rattus norvegicus	5008121LRA	Sprague Dawley	6	week	adult	male	liver	hepatocyte	wild type genotype	valproic acid	High - valproic acid	cell	P-MTAB-23065	P-MTAB-23066	P-MTAB-23067	P-MTAB-23068	5065121LRA	5065121LRA:biotin	biotin	P-MTAB-23069	3017169029	array assay	A-AFFY-43	ArrayExpress	P-MTAB-23070	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.40.zip	valproic acid	ChEMBL	CHEMBL109	valproic acid	10000	micromolar	24	hour
003017169030.CEL	TG_rat_vit_Vpa_10000um_24h_2	Yes	3017005030	Rattus norvegicus	5008122LRA	Sprague Dawley	6	week	adult	male	liver	hepatocyte	wild type genotype	valproic acid	High - valproic acid	cell	P-MTAB-23065	P-MTAB-23066	P-MTAB-23067	P-MTAB-23068	5065122LRA	5065122LRA:biotin	biotin	P-MTAB-23069	3017169030	array assay	A-AFFY-43	ArrayExpress	P-MTAB-23070	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-797/E-MTAB-797.raw.40.zip	valproic acid	ChEMBL	CHEMBL109	valproic acid	10000	micromolar	24	hour
